group,team,official_name
A,Mexico,Mexico
A,South Africa,South Africa
A,South Korea,Korea Republic
A,Czech Republic,Czechia
B,Canada,Canada
B,Bosnia and Herzegovina,Bosnia and Herzegovina
B,Qatar,Qatar
B,Switzerland,Switzerland
C,Brazil,Brazil
C,Morocco,Morocco
C,Haiti,Haiti
C,Scotland,Scotland
D,United States,USA
D,Paraguay,Paraguay
D,Australia,Australia
D,Turkey,Türkiye
E,Germany,Germany
E,Curaçao,Curaçao
E,Ivory Coast,Côte d’Ivoire
E,Ecuador,Ecuador
F,Netherlands,Netherlands
F,Japan,Japan
F,Sweden,Sweden
F,Tunisia,Tunisia
G,Belgium,Belgium
G,Egypt,Egypt
G,Iran,IR Iran
G,New Zealand,New Zealand
H,Spain,Spain
H,Cape Verde,Cabo Verde
H,Saudi Arabia,Saudi Arabia
H,Uruguay,Uruguay
I,France,France
I,Senegal,Senegal
I,Iraq,Iraq
I,Norway,Norway
J,Argentina,Argentina
J,Algeria,Algeria
J,Austria,Austria
J,Jordan,Jordan
K,Portugal,Portugal
K,DR Congo,Congo DR
K,Uzbekistan,Uzbekistan
K,Colombia,Colombia
L,England,England
L,Croatia,Croatia
L,Ghana,Ghana
L,Panama,Panama
